slug,title,published_at,content_origin,content_type,source_present,direct_scope,decision,reason
"massachusetts-student-awarded-for-developing-printable-chipless-rfid-tag-tue-aug-18-2026-1","Massachusetts student awarded for developing printable, chipless RFID tag","2026-08-19T05:15:27.296Z","news-automation","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope"
"guinea-selects-glencore-as-bauxite-offtaker-for-nimba-fri-aug-07-2026-12-35-10-gmt-0000-co","Guinea selects Glencore as bauxite offtaker for Nimba","2026-08-16T05:15:27.843Z","news-automation","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope"
"fostering-a-climate-resilient-future-a-closer-look-at-eco-cycle-s-recycling-education-init","Fostering a climate-resilient future: A closer look at Eco-Cycle’s recycling education initiatives","2026-08-14T05:00:33.542Z","news-automation","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope"
"us-2bn-domestic-mining-initiatives","US unveils $2bn boost for domestic mining initiatives","2026-08-11T06:17:42.177Z","news-automation","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope"
"selection-checklist-rcdd-self-cooling-self-dumping-electromagnetic-iron-remover","How to Select an RCDD Self-Cooling Electromagnetic Iron Remover.","2026-08-11T03:02:35.911Z","news-operations","technical-guide","false","false","keep-or-review-manually","source-missing; source-outside-direct-industry-scope"
"cd-recycling-crusher-protection-self-cleaning-magnet","C&D Recycling Crusher Protection: Where to Place a Self-Cleaning Magnet","2026-08-08T06:58:02.505Z","news-operations","news","true","false","keep-or-review-manually","source-outside-direct-industry-scope"
"magnetic-bars-components-organic-sliced-mushrooms-recalled-because-of-listeria","Organic Listeria: Metal Contamination Control Notes for Processors: Cowinmagnet View","2026-08-06T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-bars-components-plastics-unscripted-the-flexible-conversation","Plastics Unscripted Flexible Conversation: Recycling Buyers Review Magnetic Separation Needs: Cowinmagnet View","2026-08-05T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-separation-safe-and-sound-conveyor-monitoring","Safe: Magnetic Separator Buyer Notes: Cowinmagnet View","2026-08-05T00:00:00.000Z","","news","true","true","already-noindex-pending-review","legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"electromagnetic-separator-magnetic-separation-mining-market-future-market-insights","Magnetic Separation Mining Market: Magnetic Separation Questions for Mineral Buyers: Cowinmagnet View","2026-08-05T00:00:00.000Z","","news","true","true","already-noindex-pending-review","legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
