productId,id,locale,existingUrl,currentUrl,slug,currentTitle,productName,category,productFamily,exactModel,productType,currentImages,existingSpecs,existingDescription,availableDocuments,primaryIndustries,materials,installationPositions,realFeatures,missingTechnicalFields,competitorResearchUrls,contentStatus,pageStatus
"rcyd-type-permanent-magnet-self-dumping-iron-remover","rcyd-type-permanent-magnet-self-dumping-iron-remover","en","/en/products/rcyd-type-permanent-magnet-self-dumping-iron-remover","/en/products/rcyd-type-permanent-magnet-self-dumping-iron-remover","rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD type permanent magnet self dumping iron remover","RCYD type permanent magnet self dumping iron remover","Suspended & Self-Unloading Iron Removers","suspended","RCYC | RCYD","Suspended & Self-Unloading Iron Removers","/assets/products/rcyd-type-permanent-magnet-self-dumping-iron-remover/rcyd-type-permanent-magnet-self-dumping-iron-remover-01.jpg | /assets/products/rcyd-type-permanent-magnet-self-dumping-iron-remover/rcyd-type-permanent-magnet-self-dumping-iron-remover-01.jpg | /assets/products/rcyd-type-permanent-magnet-self-dumping-iron-remover/rcyd-type-permanent-magnet-self-dumping-iron-remover-02.png | /assets/products/rcyd-type-permanent-magnet-self-dumping-iron-remover/rcyd-type-permanent-magnet-self-dumping-iron-remover-03.png | /assets/products/rcyd-type-permanent-magnet-self-dumping-iron-remover/rcyd-type-permanent-magnet-self-dumping-iron-remover-07.png | /assets/products/rcyd-type-permanent-magnet-self-dumping-iron-remover/rcyd-type-permanent-magnet-self-dumping-iron-remover-05.png | /assets/products/rcyd-type-permanent-magnet-self-dumping-iron-remover/rcyd-type-permanent-magnet-self-dumping-iron-remover-09.jpg | /assets/products/rcyd-type-permanent-magnet-self-dumping-iron-remover/rcyd-type-permanent-magnet-self-dumping-iron-remover-04.png | /assets/products/rcyd-type-permanent-magnet-self-dumping-iron-remover/rcyd-type-permanent-magnet-self-dumping-iron-remover-08.jpg | /assets/products/rcyd-type-permanent-magnet-self-dumping-iron-remover/rcyd-type-permanent-magnet-self-dumping-iron-remover-06.png","Model: RCYC | Model: RCYD","product overview： 1、 Explanation The RCYD permanent magnet self dumping iron remover is equivalent to the RCYC series model and is suitable for removing iron from conveyor belts in various industries. It can achieve continuous suction and disposal of iron.","None found in static product record","General iron removal equipment | ore","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","sample-approved / ready for deployment","published"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","en","/en/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","/en/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD type self cooling self dumping electromagnetic iron remover","RCDD type self cooling self dumping electromagnetic iron remover","Suspended & Self-Unloading Iron Removers","suspended","RCDD","Suspended & Self-Unloading Iron Removers","/assets/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover-01.jpg | /assets/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover-01.jpg | /assets/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover-06.png | /assets/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover-03.png | /assets/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover-02.png | /assets/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover-04.png | /assets/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover-05.png | /assets/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover-08.jpg | /assets/products/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover-07.jpg","Model: RCDD","product overview： 1、 Explanation The RCDD self cooling self dumping electromagnetic iron remover is a device used for automatically removing impurities of iron from powdered or block shaped non-magnetic materials. It is internally cast with electrical","None found in static product record","General iron removal equipment","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","sample-approved / ready for deployment","published"
"rcyb-type-permanent-magnet-manual-iron-remover","rcyb-type-permanent-magnet-manual-iron-remover","en","/en/products/rcyb-type-permanent-magnet-manual-iron-remover","/en/products/rcyb-type-permanent-magnet-manual-iron-remover","rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","RCYB type permanent magnet manual iron remover","Suspended & Self-Unloading Iron Removers","suspended","JB/T8711 | RCYB","Suspended & Self-Unloading Iron Removers","/assets/products/rcyb-type-permanent-magnet-manual-iron-remover/rcyb-type-permanent-magnet-manual-iron-remover-01.jpg | /assets/products/rcyb-type-permanent-magnet-manual-iron-remover/rcyb-type-permanent-magnet-manual-iron-remover-01.jpg | /assets/products/rcyb-type-permanent-magnet-manual-iron-remover/rcyb-type-permanent-magnet-manual-iron-remover-02.png | /assets/products/rcyb-type-permanent-magnet-manual-iron-remover/rcyb-type-permanent-magnet-manual-iron-remover-03.png | /assets/products/rcyb-type-permanent-magnet-manual-iron-remover/rcyb-type-permanent-magnet-manual-iron-remover-04.png | /assets/products/rcyb-type-permanent-magnet-manual-iron-remover/rcyb-type-permanent-magnet-manual-iron-remover-05.png | /assets/products/rcyb-type-permanent-magnet-manual-iron-remover/rcyb-type-permanent-magnet-manual-iron-remover-06.png | /assets/products/rcyb-type-permanent-magnet-manual-iron-remover/rcyb-type-permanent-magnet-manual-iron-remover-08.jpg | /assets/products/rcyb-type-permanent-magnet-manual-iron-remover/rcyb-type-permanent-magnet-manual-iron-remover-07.jpg","Model: JB/T8711 | Model: RCYB","product overview： 1、 Explanation The RCYB type permanent magnet manual iron remover adopts a composite magnetic system composed of special permanent magnets such as neodymium iron boron with high coercivity and high remanence inside. Suitable for removing","None found in static product record","General iron removal equipment | ore","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","rcdb-type-self-cooling-plate-electromagnetic-iron-remover","en","/en/products/rcdb-type-self-cooling-plate-electromagnetic-iron-remover","/en/products/rcdb-type-self-cooling-plate-electromagnetic-iron-remover","rcdb-type-self-cooling-plate-electromagnetic-iron-remover","RCDB type self cooling plate electromagnetic iron remover","RCDB type self cooling plate electromagnetic iron remover","Suspended & Self-Unloading Iron Removers","suspended","PDC | RCDB | RCDB-10 | RCDB-18 | RCDB-3 | RCDB-8 | RCDY","Suspended & Self-Unloading Iron Removers","/assets/products/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/rcdb-type-self-cooling-plate-electromagnetic-iron-remover-01.jpg | /assets/products/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/rcdb-type-self-cooling-plate-electromagnetic-iron-remover-01.jpg | /assets/products/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/rcdb-type-self-cooling-plate-electromagnetic-iron-remover-02.png | /assets/products/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/rcdb-type-self-cooling-plate-electromagnetic-iron-remover-05.png | /assets/products/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/rcdb-type-self-cooling-plate-electromagnetic-iron-remover-03.png | /assets/products/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/rcdb-type-self-cooling-plate-electromagnetic-iron-remover-04.png | /assets/products/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/rcdb-type-self-cooling-plate-electromagnetic-iron-remover-07.jpg | /assets/products/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/rcdb-type-self-cooling-plate-electromagnetic-iron-remover-06.jpg","Model: PDC | Model: RCDB | Model: RCDB-10 | Model: RCDB-18 | Model: RCDB-3 | Model: RCDB-8 | Model: RCDY","product overview： 1、 Explanation The RCDB type self cooling disc electromagnetic iron remover is equivalent to the PDC series disc electromagnetic iron remover and the RCDY series electromagnetic iron remover. It is an iron removal device used to remove","None found in static product record","General iron removal equipment","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"belt-high-gradient-magnetic-separator","belt-high-gradient-magnetic-separator","en","/en/products/belt-high-gradient-magnetic-separator","/en/products/belt-high-gradient-magnetic-separator","belt-high-gradient-magnetic-separator","Belt High Gradient Magnetic Separator","Belt High Gradient Magnetic Separator","Magnetic Separation Equipment","mineral-processing","","Magnetic Separation Equipment","/assets/products/belt-high-gradient-magnetic-separator/belt-high-gradient-magnetic-separator-01.jpg | /assets/products/belt-high-gradient-magnetic-separator/belt-high-gradient-magnetic-separator-01.jpg | /assets/products/belt-high-gradient-magnetic-separator/belt-high-gradient-magnetic-separator-02.jpg | /assets/products/belt-high-gradient-magnetic-separator/belt-high-gradient-magnetic-separator-09.jpg | /assets/products/belt-high-gradient-magnetic-separator/belt-high-gradient-magnetic-separator-06.jpg | /assets/products/belt-high-gradient-magnetic-separator/belt-high-gradient-magnetic-separator-05.jpg | /assets/products/belt-high-gradient-magnetic-separator/belt-high-gradient-magnetic-separator-07.jpg | /assets/products/belt-high-gradient-magnetic-separator/belt-high-gradient-magnetic-separator-03.jpg | /assets/products/belt-high-gradient-magnetic-separator/belt-high-gradient-magnetic-separator-04.jpg | /assets/products/belt-high-gradient-magnetic-separator/belt-high-gradient-magnetic-separator-08.jpg","","Belt High Gradient Magnetic Separator is a high performance magnetic separation equipment designed for small size ore(size less than 2mm) processing and magnetic material separating from mineral.","None found in static product record","Mining Industry | mining | recycling | food | ore | mineral | metal recycling","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","sample-approved / ready for deployment","published"
"disc-magnetic-separator-for-tailing","disc-magnetic-separator-for-tailing","en","/en/products/disc-magnetic-separator-for-tailing","/en/products/disc-magnetic-separator-for-tailing","disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","Disc Magnetic Separator for Tailing","Magnetic Separation Equipment","mineral-processing","","Magnetic Separation Equipment","/assets/products/disc-magnetic-separator-for-tailing/disc-magnetic-separator-for-tailing-01.jpg | /assets/products/disc-magnetic-separator-for-tailing/disc-magnetic-separator-for-tailing-01.jpg | /assets/products/disc-magnetic-separator-for-tailing/disc-magnetic-separator-for-tailing-02.jpg | /assets/products/disc-magnetic-separator-for-tailing/disc-magnetic-separator-for-tailing-03.jpg | /assets/products/disc-magnetic-separator-for-tailing/disc-magnetic-separator-for-tailing-04.jpg | /assets/products/disc-magnetic-separator-for-tailing/disc-magnetic-separator-for-tailing-05.jpg | /assets/products/disc-magnetic-separator-for-tailing/disc-magnetic-separator-for-tailing-08.jpg | /assets/products/disc-magnetic-separator-for-tailing/disc-magnetic-separator-for-tailing-06.jpg | /assets/products/disc-magnetic-separator-for-tailing/disc-magnetic-separator-for-tailing-07.jpg","","Iron ore tailing recovery machine is used in iron mine to recover magnetic minerals from the tailing and reduce ore wastage. In this way, the resource can be fully used.","None found in static product record","Mining Industry | mining | recycling | food | ore | mineral | metal recycling","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"dry-drum-magnetic-separator","dry-drum-magnetic-separator","en","/en/products/dry-drum-magnetic-separator","/en/products/dry-drum-magnetic-separator","dry-drum-magnetic-separator","Dry Drum Magnetic Separator","Dry Drum Magnetic Separator","Magnetic Separation Equipment","mineral-processing","QJ-CGT","Magnetic Separation Equipment","/assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-01.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-01.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-02.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-04.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-03.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-05.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-06.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-07.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-08.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-16.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-12.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-13.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-09.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-11.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-14.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-10.jpg | /assets/products/dry-drum-magnetic-separator/dry-drum-magnetic-separator-15.jpg","Model: QJ-CGT","Dry Drum Magnetic Separator is a high-efficiency ore concentration machine used to remove, purify, or separate magnetic materials in dry processing lines.","None found in static product record","Mining Industry | mining | recycling | food | ore | metal recycling","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"wet-drum-magnetic-separator","wet-drum-magnetic-separator","en","/en/products/wet-drum-magnetic-separator","/en/products/wet-drum-magnetic-separator","wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Wet Drum Magnetic Separator","Magnetic Separation Equipment","mineral-processing","CTB | CTN | CTS | DMS | QJ-CT(S","Magnetic Separation Equipment","/assets/products/wet-drum-magnetic-separator/wet-drum-magnetic-separator-01.jpg | /assets/products/wet-drum-magnetic-separator/wet-drum-magnetic-separator-01.jpg | /assets/products/wet-drum-magnetic-separator/wet-drum-magnetic-separator-02.jpg | /assets/products/wet-drum-magnetic-separator/wet-drum-magnetic-separator-03.jpg | /assets/products/wet-drum-magnetic-separator/wet-drum-magnetic-separator-04.jpg | /assets/products/wet-drum-magnetic-separator/wet-drum-magnetic-separator-05.jpg | /assets/products/wet-drum-magnetic-separator/wet-drum-magnetic-separator-06.jpg | /assets/products/wet-drum-magnetic-separator/wet-drum-magnetic-separator-07.jpg | /assets/products/wet-drum-magnetic-separator/wet-drum-magnetic-separator-08.jpg | /assets/products/wet-drum-magnetic-separator/wet-drum-magnetic-separator-09.jpg","Model: CTB | Model: CTN | Model: CTS | Model: DMS | Model: QJ-CT(S","Wet permanent Drum Magnetic Separator are used in Dense Media Separation (DMS) plants for the recovery of magnetic particles from the dilute medium. They must recover the maximum amount of magnetic particles at the highest possible density.","None found in static product record","Mining Industry | mining | recycling | coal | food | ore | mineral | metal recycling","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","sample-approved / ready for deployment","published"
"cbz-type-rotary-automatic-magnetic-separator","cbz-type-rotary-automatic-magnetic-separator","en","/en/products/cbz-type-rotary-automatic-magnetic-separator","/en/products/cbz-type-rotary-automatic-magnetic-separator","cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","CBZ type rotary automatic magnetic separator","Magnetic Separation Equipment","filtering","CBZ","Magnetic Separation Equipment","/assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-01.jpg | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-01.jpg | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-02.png | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-03.png | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-06.png | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-07.jpg | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-04.png | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-08.jpg | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-09.png | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-10.png | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-11.png | /assets/products/cbz-type-rotary-automatic-magnetic-separator/cbz-type-rotary-automatic-magnetic-separator-05.png","Installation method: free fall, pipeline series for conveying materials, single machine use for bulk materials. | Application industries: Food industry, chemical industry, pharmaceutical industry, plastic industry, wood industry, recycling industry, packaging industry, quartz sand iron removal, potassium feldspar iron removal, mica iron removal, micro powder iron removal, fly ash iron removal, and all 10-500 mesh fine powder materials for iron removal. | Standard caliber (mm): 150, 200, 250, 300, 350, 400, 450, | Unloading method: timed control, automatic clearing, adjustable interval time. | Product Description: The CBZ rotary automatic magnetic separator is mainly used to separate ferromagnetic impurities in materials that are prone to clumping or adhesion. The rotating magnetic rod driven by the motor can prevent material blockage, ensuring that the product can fully contact the magnet during the flow process. | Product advantages: The cleaning of the system is fully automated, and the magnetic core sealed in the stainless steel shell shuttles back and forth between the work area and the cleaning area. The powerful magnetic force can automatically remove the adsorbed iron according to the set time. ◇ | Model: CBZ","product overview： 1、 Characteristics The CBZ rotary automatic magnetic separator can be installed in assembly lines to remove fine and very fine iron metal impurities from bulk materials. The automatic timing controller can set the cleaning time interval","None found in static product record","Metal detection and separation equipment for the food, pharmaceutical, and chemical industries | Non metallic industry magnetic separation equipment | chemical | food | ore | pharmaceutical | recycling | wood","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical source review required before display","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"cgb-type-rotary-semi-automatic-magnetic-separator","cgb-type-rotary-semi-automatic-magnetic-separator","en","/en/products/cgb-type-rotary-semi-automatic-magnetic-separator","/en/products/cgb-type-rotary-semi-automatic-magnetic-separator","cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","CGB type rotary semi-automatic magnetic separator","Magnetic Separation Equipment","filtering","CGB","Magnetic Separation Equipment","/assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-01.jpg | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-01.jpg | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-02.png | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-03.png | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-07.png | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-04.png | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-08.jpg | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-05.png | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-09.jpg | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-06.png | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-10.png | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-12.png | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-11.png | /assets/products/cgb-type-rotary-semi-automatic-magnetic-separator/cgb-type-rotary-semi-automatic-magnetic-separator-13.png","Installation method: free fall, pipeline series for conveying materials, single machine use for bulk materials. | Standard caliber (mm): 150, 200, 250, 300, 350, 400, 450, | Unloading method: manual clearing. | Model: CGB","product overview： 1、 Explanation The CGB rotary semi-automatic magnetic separator is mainly used to separate ferromagnetic impurities in materials that are prone to clumping or adhesion. The rotating magnetic rod driven by the motor can prevent material","None found in static product record","Metal detection and separation equipment for the food, pharmaceutical, and chemical industries | Non metallic industry magnetic separation equipment | chemical | food | pharmaceutical | recycling | wood","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical source review required before display","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
