id,slug,url,publishedAt,contentType,status,productLinked,controlledHero,citationCount,sourceSummaryCount,action,defects
"news-massachusetts-student-awarded-for-developing-printable-chipless-rfid-tag-tue-aug-18-2026-1","massachusetts-student-awarded-for-developing-printable-chipless-rfid-tag-tue-aug-18-2026-1","https://www.cowinmagnet.com/en/news/massachusetts-student-awarded-for-developing-printable-chipless-rfid-tag-tue-aug-18-2026-1","2026-08-19T05:15:27.296Z","technical-guide","published","false","false","0","0","needs-review","product-link-missing;product-hero-missing;citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-guinea-selects-glencore-as-bauxite-offtaker-for-nimba-fri-aug-07-2026-12-35-10-gmt-0000-co","guinea-selects-glencore-as-bauxite-offtaker-for-nimba-fri-aug-07-2026-12-35-10-gmt-0000-co","https://www.cowinmagnet.com/en/news/guinea-selects-glencore-as-bauxite-offtaker-for-nimba-fri-aug-07-2026-12-35-10-gmt-0000-co","2026-08-16T05:15:27.843Z","technical-guide","published","false","false","0","0","needs-review","product-link-missing;product-hero-missing;citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-fostering-a-climate-resilient-future-a-closer-look-at-eco-cycle-s-recycling-education-init","fostering-a-climate-resilient-future-a-closer-look-at-eco-cycle-s-recycling-education-init","https://www.cowinmagnet.com/en/news/fostering-a-climate-resilient-future-a-closer-look-at-eco-cycle-s-recycling-education-init","2026-08-14T05:00:33.542Z","technical-guide","published","false","false","0","0","needs-review","product-link-missing;product-hero-missing;citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-us-2bn-domestic-mining-initiatives","us-2bn-domestic-mining-initiatives","https://www.cowinmagnet.com/en/news/us-2bn-domestic-mining-initiatives","2026-08-11T06:17:42.177Z","technical-guide","published","false","false","0","0","needs-review","product-link-missing;product-hero-missing;citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-selection-checklist-rcdd-self-cooling-self-dumping-electromagnetic-iron-remover","selection-checklist-rcdd-self-cooling-self-dumping-electromagnetic-iron-remover","https://www.cowinmagnet.com/en/news/selection-checklist-rcdd-self-cooling-self-dumping-electromagnetic-iron-remover","2026-08-11T03:02:35.911Z","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-cd-recycling-crusher-protection-self-cleaning-magnet","cd-recycling-crusher-protection-self-cleaning-magnet","https://www.cowinmagnet.com/en/news/cd-recycling-crusher-protection-self-cleaning-magnet","2026-08-08T06:58:02.505Z","news","published","true","true","2","0","repair","source-summary-missing-or-invalid"
"news-magnetic-bars-components-organic-sliced-mushrooms-recalled-because-of-listeria","magnetic-bars-components-organic-sliced-mushrooms-recalled-because-of-listeria","https://www.cowinmagnet.com/en/news/magnetic-bars-components-organic-sliced-mushrooms-recalled-because-of-listeria","2026-08-06","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-magnetic-bars-components-plastics-unscripted-the-flexible-conversation","magnetic-bars-components-plastics-unscripted-the-flexible-conversation","https://www.cowinmagnet.com/en/news/magnetic-bars-components-plastics-unscripted-the-flexible-conversation","2026-08-05","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-magnetic-separation-safe-and-sound-conveyor-monitoring","magnetic-separation-safe-and-sound-conveyor-monitoring","https://www.cowinmagnet.com/en/news/magnetic-separation-safe-and-sound-conveyor-monitoring","2026-08-05","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-electromagnetic-separator-magnetic-separation-mining-market-future-market-insights","electromagnetic-separator-magnetic-separation-mining-market-future-market-insights","https://www.cowinmagnet.com/en/news/electromagnetic-separator-magnetic-separation-mining-market-future-market-insights","2026-08-05","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-magnetic-bars-components-us-senators-propose-plastic-tracking-bill","magnetic-bars-components-us-senators-propose-plastic-tracking-bill","https://www.cowinmagnet.com/en/news/magnetic-bars-components-us-senators-propose-plastic-tracking-bill","2026-08-04","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-electromagnetic-separator-dirty-gold-overtakes-cocaine-as-crime-and-8217-s-cash-machine","electromagnetic-separator-dirty-gold-overtakes-cocaine-as-crime-and-8217-s-cash-machine","https://www.cowinmagnet.com/en/news/electromagnetic-separator-dirty-gold-overtakes-cocaine-as-crime-and-8217-s-cash-machine","2026-08-04","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-magnetic-separation-smart-recycling-boxes-that-reward-residents-for-sorting-waste-have-cut","magnetic-separation-smart-recycling-boxes-that-reward-residents-for-sorting-waste-have-cut","https://www.cowinmagnet.com/en/news/magnetic-separation-smart-recycling-boxes-that-reward-residents-for-sorting-waste-have-cut","2026-08-04","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-magnetic-separation-how-ai-reduces-the-cost-of-advanced-metal-sorting-recycling-product-ne","magnetic-separation-how-ai-reduces-the-cost-of-advanced-metal-sorting-recycling-product-ne","https://www.cowinmagnet.com/en/news/magnetic-separation-how-ai-reduces-the-cost-of-advanced-metal-sorting-recycling-product-ne","2026-08-04","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-magnetic-bars-components-spaghetti-and-chicken-cobbler-recalled-because-of-consumer-compla","magnetic-bars-components-spaghetti-and-chicken-cobbler-recalled-because-of-consumer-compla","https://www.cowinmagnet.com/en/news/magnetic-bars-components-spaghetti-and-chicken-cobbler-recalled-because-of-consumer-compla","2026-08-02","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-magnetic-bars-components-is-food-safety-compromised","magnetic-bars-components-is-food-safety-compromised","https://www.cowinmagnet.com/en/news/magnetic-bars-components-is-food-safety-compromised","2026-07-31","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-electromagnetic-separator-titan-mining-secures-graphite-supply-deal-with-us-aerospace-and","electromagnetic-separator-titan-mining-secures-graphite-supply-deal-with-us-aerospace-and","https://www.cowinmagnet.com/en/news/electromagnetic-separator-titan-mining-secures-graphite-supply-deal-with-us-aerospace-and","2026-07-31","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-electromagnetic-separator-pls-plugs-into-lithium-strength-to-cap-off-record-year","electromagnetic-separator-pls-plugs-into-lithium-strength-to-cap-off-record-year","https://www.cowinmagnet.com/en/news/electromagnetic-separator-pls-plugs-into-lithium-strength-to-cap-off-record-year","2026-07-31","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
"news-magnetic-separation-electronic-waste-recycling-market-to-reach-us-76-92-billion-openpr-com","magnetic-separation-electronic-waste-recycling-market-to-reach-us-76-92-billion-openpr-com","https://www.cowinmagnet.com/en/news/magnetic-separation-electronic-waste-recycling-market-to-reach-us-76-92-billion-openpr-com","2026-07-31","technical-guide","published","true","true","0","0","needs-review","citation-missing;source-summary-missing-or-invalid;content-type-review-required"
