slug,published_at_before,published_at_after,action,title,validation
"massachusetts-student-awarded-for-developing-printable-chipless-rfid-tag-tue-aug-18-2026-1","2026-08-19T05:15:27.296Z","2026-08-19T05:15:27.296Z","rewritten-noindex-source-gap","Magnetic separation: A Guide to process position and material path","passed"
"guinea-selects-glencore-as-bauxite-offtaker-for-nimba-fri-aug-07-2026-12-35-10-gmt-0000-co","2026-08-16T05:15:27.843Z","2026-08-16T05:15:27.843Z","rewritten-noindex-source-gap","Electromagnetic: A Guide to the information needed before a configuration discussion","passed"
"fostering-a-climate-resilient-future-a-closer-look-at-eco-cycle-s-recycling-education-init","2026-08-14T05:00:33.542Z","2026-08-14T05:00:33.542Z","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to safe installation planning around an existing line","passed"
"us-2bn-domestic-mining-initiatives","2026-08-11T06:17:42.177Z","2026-08-11T06:17:42.177Z","rewritten-noindex-source-gap","Electromagnetic: A Guide to process position and material path","passed"
"magnetic-bars-components-organic-sliced-mushrooms-recalled-because-of-listeria","2026-08-06T00:00:00.000Z","2026-08-06","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to how feed variation changes the selection conversation","passed"
"magnetic-bars-components-plastics-unscripted-the-flexible-conversation","2026-08-05T00:00:00.000Z","2026-08-05","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to maintenance access and routine cleaning","passed"
"magnetic-separation-safe-and-sound-conveyor-monitoring","2026-08-05T00:00:00.000Z","2026-08-05","rewritten-noindex-source-gap","Suspended magnetic separators for conveyor protection: A Guide to how feed variation changes the selection con","passed"
"electromagnetic-separator-magnetic-separation-mining-market-future-market-insights","2026-08-05T00:00:00.000Z","2026-08-05","rewritten-noindex-source-gap","Electromagnetic: A Guide to process position and material path","passed"
"magnetic-bars-components-us-senators-propose-plastic-tracking-bill","2026-08-04T00:00:00.000Z","2026-08-04","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to process position and material path","passed"
"electromagnetic-separator-dirty-gold-overtakes-cocaine-as-crime-and-8217-s-cash-machine","2026-08-04T00:00:00.000Z","2026-08-04","rewritten-noindex-source-gap","Electromagnetic: A Guide to maintenance access and routine cleaning","passed"
"magnetic-separation-smart-recycling-boxes-that-reward-residents-for-sorting-waste-have-cut","2026-08-04T00:00:00.000Z","2026-08-04","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to the handoff between operations, maintenance and procurement","passed"
"magnetic-separation-how-ai-reduces-the-cost-of-advanced-metal-sorting-recycling-product-ne","2026-08-04T00:00:00.000Z","2026-08-04","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to process position and material path","passed"
"magnetic-bars-components-spaghetti-and-chicken-cobbler-recalled-because-of-consumer-compla","2026-08-02T00:00:00.000Z","2026-08-02","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to maintenance access and routine cleaning","passed"
"magnetic-bars-components-is-food-safety-compromised","2026-07-31T00:00:00.000Z","2026-07-31","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to process position and material path","passed"
"electromagnetic-separator-titan-mining-secures-graphite-supply-deal-with-us-aerospace-and","2026-07-31T00:00:00.000Z","2026-07-31","rewritten-noindex-source-gap","Electromagnetic: A Guide to maintenance access and routine cleaning","passed"
