site_id,url,content_type,published_at,title,source_url,source_date,word_count,duplicate_cluster,similarity_score,index_status,decision,reason,redirect_target,rollback_method,reviewer
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/selection-checklist-rcdd-self-cooling-self-dumping-electromagnetic-iron-remover","news","2026-08-11T03:02:35.911Z","Selection Checklist for RCDD Self‑Cooling Self‑Dumping Electromagnetic Iron Remover","https://im-mining.com/2026/08/10/zijin-longking-launches-230-t-class-battery-mining-truck-signs-autonomy-partnership-with-eacon/","August 10, 2026","1517","","","indexable","keep","published-news","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/cd-recycling-crusher-protection-self-cleaning-magnet","news","2026-08-08T06:58:02.505Z","C&D Recycling Crusher Protection: Where to Place a Self-Cleaning Magnet","https://www.gov.uk/government/publications/sr2022-no-3-construction-demolition-and-excavation-waste-transfer-station","May 1, 2026","1437","","","indexable","keep","published-news","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/magnetic-bars-components-organic-sliced-mushrooms-recalled-because-of-listeria","news","2026-08-06","Organic Listeria: Metal Contamination Control Notes for Processors: Cowinmagnet View","https://www.foodsafetynews.com/2026/08/organic-sliced-mushrooms-recalled-because-of-listeria/","2026-08-05","1260","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/magnetic-bars-components-plastics-unscripted-the-flexible-conversation","news","2026-08-05","Plastics Unscripted Flexible Conversation: Recycling Buyers Review Magnetic Separation Needs: Cowinmagnet View","https://www.waste360.com/industry-insights/plastics-unscripted-the-flexible-conversation","2026-08-05","1267","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/magnetic-separation-safe-and-sound-conveyor-monitoring","news","2026-08-05","Safe: Magnetic Separator Buyer Notes: Cowinmagnet View","https://www.australianmining.com.au/safe-and-sound-conveyor-monitoring/","2026-08-04","1281","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/electromagnetic-separator-magnetic-separation-mining-market-future-market-insights","news","2026-08-05","Magnetic Separation Mining Market: Magnetic Separation Questions for Mineral Buyers: Cowinmagnet View","https://www.futuremarketinsights.com/reports/magnetic-separation-mining-market","2026-08-04","1248","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/magnetic-bars-components-us-senators-propose-plastic-tracking-bill","news","2026-08-04","Senators Propose Plastic Tracking: Magnetic Separation Questions for Mineral Buyers: Cowinmagnet View","https://www.powderbulksolids.com/chemical/us-senators-propose-plastic-tracking-bill","2026-08-04","1265","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/electromagnetic-separator-dirty-gold-overtakes-cocaine-as-crime-and-8217-s-cash-machine","news","2026-08-04","Dirty 8217: Electromagnetic Separator Selection Notes: Cowinmagnet View","https://www.mining.com/dirty-gold-overtakes-cocaine-as-crimes-cash-machine/","2026-08-03","1220","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/magnetic-separation-smart-recycling-boxes-that-reward-residents-for-sorting-waste-have-cut","news","2026-08-04","Smart Straits Times: Recycling Buyers Review Magnetic Separation Needs: Cowinmagnet View","https://www.straitstimes.com/singapore/smart-recycling-boxes-in-bishan-rewards-residents-for-sorting-waste-slashing-contamination-rate","2023-03-20","1260","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/magnetic-separation-how-ai-reduces-the-cost-of-advanced-metal-sorting-recycling-product-ne","news","2026-08-04","How Recycling Product: Recycling Buyers Review Magnetic Separation Needs: Cowinmagnet View","https://www.recyclingproductnews.com/article/44782/bindercos-ai-system-makes-advanced-metal-recycling-more-accessible","2026-07-28","1252","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/magnetic-bars-components-spaghetti-and-chicken-cobbler-recalled-because-of-consumer-compla","news","2026-08-02","Spaghetti: Magnetic Separation Questions for Mineral Buyers: Cowinmagnet View","https://www.foodsafetynews.com/2026/08/spaghetti-and-chicken-cobbler-recalled-because-of-consumer-complaint-about-metal-pieces/","2026-08-01","1269","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/magnetic-bars-components-is-food-safety-compromised","news","2026-07-31","Food Safety Compromised: Metal Contamination Control Notes for Processors: Cowinmagnet View","https://www.powderbulksolids.com/product-recalls/is-food-safety-compromised-","2026-07-31","1229","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/electromagnetic-separator-titan-mining-secures-graphite-supply-deal-with-us-aerospace-and","news","2026-07-31","Titan Mining: Electromagnetic Separator Selection Notes: Cowinmagnet View","https://www.mining.com/titan-mining-secures-graphite-supply-deal-with-us-aerospace-and-defense-manufacturer/","2026-07-29","1228","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/electromagnetic-separator-pls-plugs-into-lithium-strength-to-cap-off-record-year","news","2026-07-31","PLS: Magnetic Separation Questions for Mineral Buyers: Cowinmagnet View","https://www.australianmining.com.au/pls-plugs-into-lithium-strength-to-cap-off-record-year/","2026-07-31","1299","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
"cowinmagnet-production","https://www.cowinmagnet.com/en/news/magnetic-separation-electronic-waste-recycling-market-to-reach-us-76-92-billion-openpr-com","news","2026-07-31","Electronic Waste Recycling Market: Recycling Buyers Review Magnetic Separation Needs: Cowinmagnet View","https://www.openpr.com/news/4592124/electronic-waste-recycling-market-to-reach-us-76-92-billion","2026-07-31","1250","","","noindex","noindex-follow","legacy-template-needs-review","","Restore seoIndexable/list visibility from CMS payload or pre-migration backup","automation-policy"
