productId,productName,productFamily,missingTechnicalFields
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD type permanent magnet self dumping iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD type self cooling self dumping electromagnetic iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","RCDB type self cooling plate electromagnetic iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"belt-high-gradient-magnetic-separator","Belt High Gradient Magnetic Separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"dry-drum-magnetic-separator","Dry Drum Magnetic Separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","filtering","Technical source review required before display"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","filtering","Technical source review required before display"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"ctn-wet-full-countercurrent-magnetic-separator","CTN wet full countercurrent magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"cts-type-wet-co-current-magnetic-separator","CTS type wet co current magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"cxj-drum-type-automatic-magnetic-separator","CXJ drum type automatic magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"dcz-type-dry-fully-automatic-magnetic-separator","DCZ type dry fully automatic magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"gls-type-integral-channel-metal-separator","GLS type integral channel metal separator","metal-detection","Technical values beyond model reference: confirm from current datasheet or supplier record"
"cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"ctz-type-midfield-strong-semi-magnetic-drum","CTZ type midfield strong semi magnetic drum","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","RCYG type pipeline self dumping permanent magnet iron remover","filtering","Technical source review required before display"
"rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","RCYP type permanent magnet manual self dumping iron remover","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rcyz-type-vertical-pipeline-permanent-magnet-iron-remover","RCYZ type vertical pipeline permanent magnet iron remover","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"cqz-type-fully-automatic-online-magnetic-separation","CQZ type fully automatic online magnetic separation","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"ctb-wet-semi-countercurrent-magnetic-separator","CTB wet semi countercurrent magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"dcx-wet-fully-automatic-magnetic-separator","DCX wet fully automatic magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"dcz-type-dry-fully-automatic-magnetic-separation","DCZ type dry fully automatic magnetic separation","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
